"SampleID"	"StratUnit"	"Si"	"Ti"	"Al"	"Fe"	"Mg"	"Ca"	"Na"	"K"	"P"	"Rb"	"Nb"	"Zr"	"Th"	"V"	"Cr"	"Co"	"Ni"	"La"	"Er"	"Yb"	"Y"	"Ga"
1	"eJF"	45.6827611970417	1.20003172744078	1.87577774871811	10.683777612264	38.9136501907981	0.710698401688228	0.221365075935678	0.139809521643586	0.233015869405976	0.000838857129861515	0.00796914273368439	0.00519625388775327	0.00104857141232689	0.00710698401688228	0.113944760139522	0.0132935553496109	0.183150473353097	0.00539431737674835	5.82539673514941e-05	5.12634912693148e-05	0.000699047608217929	0.000361174597579263
2	"eJF"	41.8670761306177	1.27678912513666	1.38125368992057	10.2723488704177	42.2036841726991	2.42589933775966	0.0232143477297575	0.046428695459515	0.162500434108303	0.000348215215946363	0.00660448192911601	0.00388840324473438	0.000661608910298089	0.00684823258027846	0.113518160398514	0.0117696742989871	0.191286225293202	0.00509554932668177	3.13393694351726e-05	2.20536303432696e-05	0.000441072606865393	0.000290179346621969
3	"eJF"	41.2273878603483	1.32876760873641	2.34907130830186	10.1674450061348	40.0172602166776	4.09307879476839	0.0237279930131501	0.11863996506575	0.344055898690676	0.000605063821835327	0.00862512546028006	0.0063709661240308	0.00105589568908518	0.00771159772927378	0.12172460415746	0.0113538446567923	0.163841791755801	0.007984469648925	6.16927818341902e-05	5.57607835809027e-05	0.000806751762447103	0.000367783891703826
4	"eJF"	42.3878098618707	1.33745096159791	1.75980389683936	9.91356195219504	40.6397379910102	3.16764701431084	0.0938562078314324	0.0821241818525034	0.281568623494297	0.00049274509111502	0.00922137241943823	0.00612411756100096	0.00123186272778755	0.00750849662651459	0.107582678226779	0.0128817645248641	0.184075487609397	0.00618277769089561	4.10620909262517e-05	4.10620909262517e-05	0.000610065350904311	0.000445816987199304
5	"eJF"	40.9817334224785	1.39321363983073	2.32595836480215	9.56358515477027	40.592105879136	4.28590297676742	0.106262057275225	0.0826482667696197	0.306979276572873	0.000484082705364915	0.00952816446901187	0.00730846816148494	0.00131056537306111	0.00814675772443394	0.138967157125489	0.010838729842073	0.176158877171818	0.00761544743805781	5.54924076881732e-05	5.19503391123323e-05	0.000708413715168168	0.000436855124353704
6	"eJF"	41.2668279506007	1.39272618437932	1.7789443699635	10.2055229645275	41.8520070196677	2.82056311290266	0.0585179069066942	0.0585179069066942	0.210664464864099	0.000362811022821504	0.0082276177110812	0.00547727608646657	0.00108843306846451	0.00819250696693718	0.12815421612566	0.0116099527302881	0.185852872335661	0.00565282980718666	4.21328929728198e-05	2.92589534533471e-05	0.000526661162160247	0.000491550418016231
7	"eJF"	42.2099976480949	1.19744674178992	1.91591478686388	8.64556547572326	40.1982871218878	5.16099545711458	0.0119744674178992	0.0718468045073955	0.263438283193783	0.000514902098969668	0.00821448464867888	0.00561602521899475	0.00104177866535723	0.00694519110238156	0.112200759705716	0.0120223652875708	0.170636160705064	0.00616685072021811	5.02927631551768e-05	4.67004229298071e-05	0.000598723370894962	0.00047897869671597
8	"eJF"	41.8331753367156	1.41010703382188	2.17391501047539	10.5993045375611	40.1057942202838	3.1609899341507	0.0117508919485156	0.0822562436396094	0.293772298712891	0.000505288353786172	0.00970623674947391	0.00660400127506578	0.00129259811433672	0.00716804408859453	0.119036535438463	0.0113631125142146	0.164277469440248	0.00768508333432922	5.75793705477266e-05	5.17039245734688e-05	0.000693302624962422	0.000493537461837656
9	"eJF"	41.6294484403531	2.09996644468391	1.56304320598632	10.8816443042712	38.4675671458007	4.67719799043234	0.0119316275266131	0.0835213926862918	0.250564178058875	0.000608513003857268	0.00958109690387032	0.00559593330998155	0.000751692534176626	0.00942598574602435	0.116691317210276	0.0125878670405768	0.173366547961688	0.00561979656503477	4.41470218484685e-05	4.29538590958072e-05	0.000477265101064524	0.000322153943218554
10	"eJF"	42.1524665995156	1.3040478797509	1.45677420801002	9.88021862045503	36.9832677968995	7.17813742817839	0.176222686452825	0.258459940130809	0.270208119227664	0.00182096776001252	0.00858791891980099	0.00595632680210547	0.000986847044135818	0.00775379820392428	0.10937554739172	0.0118891572460172	0.186796047639994	0.00605031223488031	4.11186268389924e-05	3.40697193808794e-05	0.000563912596649039	0.000340697193808794
